mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex2.2.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 0
Write end index: 0
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Average
6.393e-05	0.195	0
6.57371e-05	0.1952	0
6.75693e-05	0.1954	0
6.94267e-05	0.1956	2.77408e-07
7.13093e-05	0.1958	0
7.32171e-05	0.196	0
7.51501e-05	0.1962	0
7.71083e-05	0.1964	0
7.90916e-05	0.1966	2.77408e-07
8.11002e-05	0.1968	2.77408e-07
8.31339e-05	0.197	0
8.51928e-05	0.1972	0
8.72769e-05	0.1974	2.77408e-07
8.93861e-05	0.1976	0
9.15206e-05	0.1978	0
9.36802e-05	0.198	0
9.5865e-05	0.1982	0
9.8075e-05	0.1984	0
0.00010031	0.1986	2.77408e-07
0.000102571	0.1988	5.54816e-07
0.000104856	0.199	0
0.000107167	0.1992	2.77408e-07
0.000109503	0.1994	2.77408e-07
