Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-3.823e-03,-0.24,-0.22,-0.002,0.004
-3.821e-03,-0.26,-0.28,-0.006,-0.008
-3.819e-03,-0.24,-0.22,-0.004,0.004
-3.817e-03,-0.24,-0.28,-4.76837e-10,-0.008
-3.815e-03,-0.26,-0.22,-0.004,0.004
-3.814e-03,-0.24,-0.28,-0.002,-0.008
-3.812e-03,-0.24,-0.22,-0.004,0.004
-3.810e-03,-0.24,-0.28,-0.002,-0.008
-3.808e-03,-0.26,-0.22,-0.006,0.004
-3.806e-03,-0.24,-0.28,-0.004,-0.008
-3.804e-03,-0.26,-0.22,-4.76837e-10,0.004
-3.802e-03,-0.26,-0.28,-0.004,-0.006
-3.800e-03,-0.26,-0.22,-0.002,0.004
-3.798e-03,-0.26,-0.3,-0.002,-0.006
-3.796e-03,-0.26,-0.24,-0.002,0.004
-3.794e-03,-0.24,-0.3,-4.76837e-10,-0.006
-3.792e-03,-0.26,-0.22,-0.002,0.004
-3.791e-03,-0.26,-0.3,-4.76837e-10,-0.008
-3.789e-03,-0.26,-0.24,-0.002,0.004
-3.787e-03,-0.26,-0.28,0.002,-0.006
-3.785e-03,-0.26,-0.22,-0.002,0.006
-3.783e-03,-0.26,-0.28,-0.002,-0.006
-3.781e-03,-0.26,-0.22,-4.76837e-10,0.006
-3.779e-03,-0.24,-0.3,-4.76837e-10,-0.004
-3.777e-03,-0.26,-0.24,0.002,0.008
-3.775e-03,-0.26,-0.3,-0.002,-0.006
-3.773e-03,-0.28,-0.22,-0.002,0.006
-3.771e-03,-0.26,-0.3,-4.76837e-10,-0.006
-3.769e-03,-0.26,-0.24,-0.002,0.006
-3.767e-03,-0.26,-0.3,-4.76837e-10,-0.006
-3.766e-03,-0.24,-0.24,-0.002,0.006
-3.764e-03,-0.26,-0.3,0.002,-0.004
-3.762e-03,-0.26,-0.24,0.002,0.008
-3.760e-03,-0.26,-0.3,0.004,-0.004
-3.758e-03,-0.28,-0.24,0.002,0.008
